SMK;item;LDa;LEn;DDa;DEn;LEnPlural;Item URL;Commons category (Object related);Commons category (Artist related);Commons category;Comment
Pigment print;Q1933781;;carbon print;;"photographic print made by the carbon process, which uses carbon pigment and gelatin to transfer images to a paper support";carbon prints;https://wikidata.org/wiki/Q1933781;;;;
Plakat;Q429785;plakat;poster;trykt stykke papir beregnet til ophængning på vertikal overflade;type of graphic advertisement;posters;https://wikidata.org/wiki/Q429785;;;;
Plakette;Q4364339;;plaque;;"flat, thin work set into a surface for decoration or to bear an inscription";plaques;https://wikidata.org/wiki/Q4364339;Plaques in Statens Museum for Kunst;Plaques by xxxx (name) in Statens Museum for Kunst;;
Plantryk;Q2875163;;planographic printing;;printing technique or process;planographic printings;https://www.wikidata.org/wiki/Q2875163;;;;
Podium;Q60142;Podium;podium;;platform used to raise something above its surroundings;podiums;https://wikidata.org/wiki/Q60142;;;;
Predella (maleri);Q1411766;Predella;predella;;platform or step on which an altar stands;predellas;https://wikidata.org/wiki/Q1411766;;;;
Predella (skulptur);Q1411766;Predella;predella;;platform or step on which an altar stands;predellas;https://wikidata.org/wiki/Q1411766;;;;
Radering;Q18218093;radering;etching print;værk skabt med Radering;print produced with etching technique;etching prints;https://wikidata.org/wiki/Q18218093;Etchings in Statens Museum for Kunst;Prints by xxxx (name) in Statens Museum for Kunst;;
Ready-made;Q572916;Readymades;found object;;"art created from undisguised, but often modified, objects or products that are not normally considered art";found objects;https://wikidata.org/wiki/Q572916;;;;
Relief;Q245117;relief;relief sculpture;;sculpture created with relief technique;relief sculptures;https://wikidata.org/wiki/Q245117;Sculptures in Statens Museum for Kunst;Sculptures by xxxx (name) in Statens Museum for Kunst;;
Reliefsnit;Q99890706;;relief print;;print made using a process of relief printing;relief prints;https://wikidata.org/wiki/Q99890706;;;;
Rytterstatue;Q659396;rytterstatue;equestrian statue;statue af rytter på en hest;statue of a rider mounted on a horse;equestrian statues;https://wikidata.org/wiki/Q659396;Statues in Statens Museum for Kunst;Equestrian statues by xxxx (name) in Statens Museum for Kunst;;
Rytterstatuette;Q1066288;statuette;figurine;;"small item resembling a person or animal, sometimes part of a larger work";figurines;https://wikidata.org/wiki/Q1066288;Figurines in Statens Museum for Kunst;Figurines by xxxx (name) in Statens Museum for Kunst;;
Segl;Q162919;segl;seal;;"mark of a personal distinctive emblem intended to guarantee the authenticity of the author of a document onto which it is printed, embossed or affixed";seals;https://wikidata.org/wiki/Q162919;Emblems in Statens Museum for Kunst;Seals by xxxx (name) in Statens Museum for Kunst;;
Serigrafi;Q22569957;;screen print;;artwork produced via a screen-printing process;screen prints;https://wikidata.org/wiki/Q22569957;;;;
Sfinks;Q151480;Sfinks;sphinx;;Egyptian mythological creature with the head of a human and the body of a lion;sphinxes;https://wikidata.org/wiki/Q151480;Sculptures in Statens Museum for Kunst;Sphinxes by xxxx (name) in Statens Museum for Kunst;;
Signet;Q2387838;signetring;signet ring;;finger ring made with a signet or seal;signet rings;https://wikidata.org/wiki/Q2387838;Signet rings in Statens Museum for Kunst;Signet rings by xxxx (name) in Statens Museum for Kunst;;
Skabelontryk;Q504073;;stencil;;"thin sheet of material, with letters or a design cut from it, used to produce the letters or design on an underlying surface";stencils;https://wikidata.org/wiki/Q504073;;;;
Skitsebog;Q60520;skitsebog;sketchbook;;book or pad for sketching;sketchbooks;https://wikidata.org/wiki/Q60520;;;;
Skulptur;Q860861;skulptur;sculpture;tredimensionelt kunstværk;three-dimensional work of art;sculptures;https://wikidata.org/wiki/Q860861;Sculptures in Statens Museum for Kunst;Sculptures by xxxx (name) in Statens Museum for Kunst;;
Skulptur / Objekter;Q860861;skulptur;sculpture;tredimensionelt kunstværk;three-dimensional work of art;sculptures;https://wikidata.org/wiki/Q860861;;;;
