inventarnummer;wikidata_id
KMS1433;Q20491541
KMS1434;Q20355335
KMS1435;Q20355536
KMS1436;Q20539427
KMS1437;Q20355301
KMS1438;Q20427242
KMS1439;Q20276121
KMS1440;Q20355683
KMS1441;Q20277307
KMS1442;Q20551560
KMS1443;Q20390293
KMS1444;Q20274689
KMS1445;Q20278372
KMS1448;Q20392269
KMS1449;Q20354298
KMS145;Q20278060
KMS1450;Q20355499
KMS1451;Q20278323
KMS1452;Q20465891
KMS1453;Q20354896
KMS1454;Q20267699
KMS1455;Q20390060
KMS1456;Q20441003
KMS1457;Q20267930
KMS1458;Q20440566
KMS1459;Q20537256
KMS146;Q20550229
KMS1460;Q20440459
KMS1461;Q20550259
KMS1462;Q20425351
KMS1463;Q20441105
KMS1464;Q20539958
KMS1465;Q20538827
KMS1466;Q20392007
KMS1467;Q20440763
KMS1468;Q20426751
KMS1469;Q20381004
KMS1470;Q20539725
KMS1471;Q20440515
KMS1472;Q20355551
KMS1473;Q20440614
KMS1475;Q20354303
KMS1476;Q20441065
KMS1477;Q20355542
KMS1478;Q20553691
KMS1479;Q20538582
KMS1480;Q20268275
KMS1481;Q20273122
KMS1482;Q20468700
KMS1483;Q20538966
KMS1484;Q20477528
KMS1485;Q20274791
KMS1486;Q20268589
KMS1487;Q20441050
KMS1488;Q20354615
KMS1489;Q20354801
KMS1490;Q20355182
KMS1491;Q20354772
KMS1492;Q20355687
KMS1493;Q20433124
KMS1494;Q20267389
KMS1495;Q20355827
KMS1496;Q20268509
KMS1497;Q20469618
KMS1498;Q20421023
KMS1499;Q20355263
KMS14a;Q20278583
KMS15;Q20542109
KMS1500;Q20355613
KMS1501;Q20539340
KMS1502;Q20354160
KMS1503;Q20354520
KMS1504;Q20354259
KMS1505;Q20268500
KMS1506;Q20467330
KMS1507;Q20267483
KMS1508;Q20267436
KMS1509;Q20540753
KMS1511;Q20542433
KMS1512;Q20354842
KMS1513;Q20354145
KMS1514;Q20539897
KMS1515;Q20385744
KMS1516;Q20355597
KMS1517;Q20440532
KMS1518;Q20440656
KMS1519;Q20540881
KMS1520;Q20500680
KMS1521;Q20268046
KMS1522;Q20275298
KMS1523;Q20277768
KMS1524;Q20421020
KMS1525;Q20354201
KMS1526;Q20355334
KMS1527;Q20440947
KMS1528;Q48453102
KMS1529;Q20537668
KMS1530;Q20355023
KMS1531;Q20438729
KMS1532;Q20354743
KMS1533;Q20355667
KMS1534;Q20440403
KMS1535;Q20354687
KMS1536;Q20540346
KMS1537;Q20548219
KMS1538;Q20278212
KMS1539;Q20354577
KMS1540;Q20495518
KMS1541;Q20491371
KMS1542;Q20354158
KMS1543;Q20538296
KMS1544;Q20355077
KMS1545;Q20268872
KMS1546;Q20277082
KMS1547;Q20270670
KMS1548;Q20468405
KMS1549;Q20268703
KMS1550;Q20494924
KMS1551;Q20382125
KMS1552;Q20354711
KMS1553;Q20422236
KMS1554;Q20380256
KMS1555;Q20538998
KMS1556;Q20477290
KMS1557;Q20355085
KMS1558;Q20440561
KMS1559;Q20355596
KMS1560;Q20440096
KMS1561;Q20468329
KMS1562;Q20539879
KMS1563;Q20278293
KMS1564;Q20268974
KMS1565;Q20440858
KMS1566;Q20440787
KMS1567;Q20491591
KMS1568;Q20379625
KMS1569;Q20355834
KMS1570;Q20469189
KMS1571;Q20440575
KMS1572;Q20491451
KMS1573;Q20276749
KMS1574;Q20278143
KMS1575;Q20354178
KMS1576;Q20500391
KMS1577;Q20540519
KMS1578;Q20406160
KMS1579;Q20276068
KMS1580;Q20268478
KMS1581;Q20354485
KMS1582;Q20355759
KMS1583;Q20539694
KMS1584;Q20355614
KMS1585;Q20354902
KMS1586;Q20549247
KMS1587;Q20550810
KMS1588;Q20539151
KMS1589;Q20354379
KMS159;Q20275887
KMS1590;Q20440684
KMS1591;Q20355389
KMS1592;Q20496644
KMS1595;Q20433550
KMS1596;Q20496340
KMS1597;Q20492766
KMS1598;Q20355764
KMS15a;Q20540951
KMS16;Q20540966
KMS160;Q20440167
KMS1603;Q20539514
KMS1604;Q20440913
KMS1605;Q20354965
KMS1606;Q20267932
