inventorynumber;wikidataitem;creator;title;image;url;height;width;mime
KMS4032;Q20482282;[[wikidata:Q4830293]];Lærerinde og elev;https://commons.wikimedia.org/wiki/Special:FilePath/Axel Helsted - Lærerinde og elev - KMS4032 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS4032;800;795;image/jpeg
KMSsp335;Q20440332;[[wikidata:Q320980]];A Surgeon Operating on a Peasant;https://commons.wikimedia.org/wiki/Special:FilePath/Lucas van Leyden - A Surgeon Operating on a Peasant - KMSsp335 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMSsp335;768;552;image/jpeg
KMS8328;Q20355346;[[wikidata:Q1851487]];Cézannes atelier;;https://collection.smk.dk/#/en/detail/KMS8328;;;
KMS8610;Q20278275;[[wikidata:Q7844947]];Untitled;;https://collection.smk.dk/#/en/detail/KMS8610;;;
KMS8262;Q20268766;[[wikidata:Q12343137]];View of Marina Piccola, Capri: Morning Light;https://commons.wikimedia.org/wiki/Special:FilePath/Thorald Læssøe - View of Marina Piccola, Capri, Morning Light - KMS8262 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS8262;2511;3543;image/jpeg
KMSsp662;Q20278623;[[wikidata:Q2114370]];Southern Landscape;https://commons.wikimedia.org/wiki/Special:FilePath/Jacob de Heusch - Southern Landscape - KMSsp662 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMSsp662;555;768;image/jpeg
KMS8392;Q20267632;[[wikidata:Q12310271]];Lilies in Imitated Greek Porcelain Vase;;https://collection.smk.dk/#/en/detail/KMS8392;;;
KMSr142;Q20275509;[[wikidata:Q3294595]];Still Life;;https://collection.smk.dk/#/en/detail/KMSr142;;;
KMS1803;Q20440499;[[wikidata:Q708543]];I en tredieklasses jernbanekupé;https://commons.wikimedia.org/wiki/Special:FilePath/Julius Exner - I en tredieklasses jernbanekupé - KMS1803 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS1803;414;594;image/jpeg
KMS3317;Q20538366;[[wikidata:Q2086023]];En romersk gadescene;https://commons.wikimedia.org/wiki/Special:FilePath/Albert Küchler - En romersk gadescene - KMS3317 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS3317;600;507;image/jpeg
