inventorynumber;wikidataitem;creator;title;image;url;height;width;mime
KMS2064;Q20272420;[[wikidata:Q1670847]];An Arab Family in the Desert;https://commons.wikimedia.org/wiki/Special:FilePath/Niels Simonsen - An Arab Family in the Desert - KMS2064 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS2064;600;440;image/jpeg
KMSsp352;Q20540213;[[wikidata:Q864059]];Portrait of a Lady;https://commons.wikimedia.org/wiki/Special:FilePath/Jan Antonisz. van Ravesteyn - Portrait of a Lady - KMSsp352 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMSsp352;768;562;image/jpeg
KMSst137;Q20355143;[[wikidata:Q21009921]];Interior of the Jesuit Church in Antwerp;https://commons.wikimedia.org/wiki/Special:FilePath/Jacob Balthasar Peeters - Interior of the Jesuit Church in Antwerp - KMSst137 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMSst137;582;768;image/jpeg
KMS3780;Q20354295;[[wikidata:Q2362227]];St. Hansaften. Bønder, som har tændt blus på en kæmpehøj, danser omkring ilden;https://commons.wikimedia.org/wiki/Special:FilePath/St. Hansaften. Bønder, som har tændt blus på en kæmpehøj, danser omkring ilden.jpg;https://collection.smk.dk/#/en/detail/KMS3780;1083;1500;image/jpeg
KMS3367;Q20440558;[[wikidata:Q986441]];En mand i orientalsk dragt;https://commons.wikimedia.org/wiki/Special:FilePath/Bénoit Le Coffre - En mand i orientalsk dragt - KMS3367 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS3367;768;619;image/jpeg
KMSst23;Q20355235;[[wikidata:Q1161256]];Mountain Scenery with River;https://commons.wikimedia.org/wiki/Special:FilePath/Jan I Griffier - Mountain Scenery with River - KMSst23 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMSst23;588;768;image/jpeg
KMSsp759;Q20540547;[[wikidata:Q424307]];A Boar Hunt;https://commons.wikimedia.org/wiki/Special:FilePath/Juriaen Jacobsz. - A Boar Hunt - KMSsp759 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMSsp759;563;800;image/jpeg
KMS4301;Q20355733;[[wikidata:Q2070040]];Adam Naming the Animals;;https://collection.smk.dk/#/en/detail/KMS4301;;;
KMS4554;Q20540833;[[wikidata:Q5623184]];Frost Mist over the Mountain Peaks;;https://collection.smk.dk/#/en/detail/KMS4554;;;
KMSsp269;Q20440550;[[wikidata:Q541976]];Italian Landscape;https://commons.wikimedia.org/wiki/Special:FilePath/Jan Asselijn - Italian Landscape - KMSsp269 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMSsp269;526;768;image/jpeg
KMS8004;Q20277549;[[wikidata:Q11978527]];Folder Painting;;https://collection.smk.dk/#/en/detail/KMS8004;;;
KMS6941;Q20355666;[[wikidata:Q27991522]];The Happy Shepherd;;https://collection.smk.dk/#/en/detail/KMS6941;;;
KMS54;Q20440801;[[wikidata:Q981441]];Modelskolen på Kunstakademiet;https://commons.wikimedia.org/wiki/Special:FilePath/Wilhelm Bendz - The Life Class at the Royal Academy of Fine Arts - KMS54 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS54;2170;3048;image/jpeg
KMS6186;Q20433195;[[wikidata:Q548205]];A Quarry with a Flock of Sheep;https://commons.wikimedia.org/wiki/Special:FilePath/Hubert Robert - A Quarry with a Flock of Sheep - KMS6186 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS6186;630;800;image/jpeg
KMS6250;Q20421863;[[wikidata:Q20749487]];Grey View. Landscape from Hven;;https://collection.smk.dk/#/en/detail/KMS6250;;;
KMS1946;Q20267984;[[wikidata:Q20903400]];The Outskirts of Nørrebro;;https://collection.smk.dk/#/en/detail/KMS1946;;;
KMS4393;Q20354357;[[wikidata:Q20890637]];The Beach at Kandestederne;;https://collection.smk.dk/#/en/detail/KMS4393;;;
KMS3957;Q20539968;[[wikidata:Q1393242]];Horses at a Watering Trough;https://commons.wikimedia.org/wiki/Special:FilePath/Theodor Philipsen - Horses at a Watering Trough - KMS3957 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS3957;580;768;image/jpeg
KMS4535;Q20440644;[[wikidata:Q1082324]];Elisabeth Christine von Braunschweig-Wolfenbüttel;https://commons.wikimedia.org/wiki/Special:FilePath/Martin van Meytens d.Y. - Elisabeth Christine von Braunschweig-Wolfenbüttel - KMS4535 - Statens Museum for Kunst.jpg;https://collection.smk.dk/#/en/detail/KMS4535;768;573;image/jpeg
