?item	?itemLabel	?kid	?commons_skab	?commonscat	?article
<http://www.wikidata.org/entity/Q731125>	"Isaac Grünewald"@da	"1655"	"Isaac Grünewald"	"Isaac Grünewald"	<https://commons.wikimedia.org/wiki/Category:Isaac_Gr%C3%BCnewald>
<http://www.wikidata.org/entity/Q736065>	"Francesco Solimena"@da	"1831"	"Francesco Solimena"	"Francesco Solimena"	<https://commons.wikimedia.org/wiki/Francesco_Solimena>
<http://www.wikidata.org/entity/Q560792>	"Allan Ramsay"@da	"3118"	"Allan Ramsay (artist)"	"Allan Ramsay (artist)"	<https://commons.wikimedia.org/wiki/Category:Allan_Ramsay_(artist)>
<http://www.wikidata.org/entity/Q561184>	"Günther Förg"@da	"5951"		"Günther Förg"	<https://commons.wikimedia.org/wiki/Category:G%C3%BCnther_F%C3%B6rg>
<http://www.wikidata.org/entity/Q561916>	"Henry Raeburn"@da	"3463"	"Henry Raeburn"	"Henry Raeburn"	<https://commons.wikimedia.org/wiki/Category:Henry_Raeburn>
<http://www.wikidata.org/entity/Q568575>	"Jan Frans Van Bloemen"@da	"1371"	"Jan Frans van Bloemen"	"Jan Frans van Bloemen"	<https://commons.wikimedia.org/wiki/Category:Jan_Frans_van_Bloemen>
<http://www.wikidata.org/entity/Q570172>	"Gaspar de Crayer"@da	"1490"	"Gaspar de Crayer"	"Gaspar de Crayer"	<https://commons.wikimedia.org/wiki/Category:Gaspar_de_Crayer>
<http://www.wikidata.org/entity/Q572155>	"Ditlev Blunck"@da	"142"	"Ditlev Blunck"	"Ditlev Blunck"	<https://commons.wikimedia.org/wiki/Category:Ditlev_Blunck>
<http://www.wikidata.org/entity/Q104034>	"Johann Mohr"@da	"2573"	"Johann Mohr"	"Johann Georg Paul Mohr"	<https://commons.wikimedia.org/wiki/Category:Johann_Georg_Paul_Mohr>
<http://www.wikidata.org/entity/Q104884>	"Caspar David Friedrich"@da	"6691"	"Caspar David Friedrich"	"Caspar David Friedrich"	<https://commons.wikimedia.org/wiki/Caspar_David_Friedrich>
<http://www.wikidata.org/entity/Q123071>	"Arnold Böcklin"@da	"3098"	"Arnold Böcklin"	"Arnold Böcklin"	<https://commons.wikimedia.org/wiki/Arnold_B%C3%B6cklin>
<http://www.wikidata.org/entity/Q447058>	"Pietro Longhi"@da	"3004"	"Pietro Longhi"	"Pietro Longhi"	<https://commons.wikimedia.org/wiki/Pietro_Longhi>
<http://www.wikidata.org/entity/Q447682>	"Bartholomeus Spranger"@da	"1843"	"Bartholomeus Spranger"	"Bartholomeus Spranger"	<https://commons.wikimedia.org/wiki/Bartholomeus_Spranger>
<http://www.wikidata.org/entity/Q448207>	"Peder Mønsted"@da	"600"	"Peder Mønsted"	"Peder Mønsted"	<https://commons.wikimedia.org/wiki/Category:Peder_M%C3%B8nsted>
<http://www.wikidata.org/entity/Q866054>	"Pieter van der Hulst"@da	"2979"	"Pieter van der Hulst (IV)"	"Pieter van der Hulst (IV)"	<https://commons.wikimedia.org/wiki/Category:Pieter_van_der_Hulst_(IV)>
<http://www.wikidata.org/entity/Q866194>	"Simon Van Der Does"@da	"34309"	"Simon van der Does"	"Simon van der Does"	<https://commons.wikimedia.org/wiki/Category:Simon_van_der_Does>
<http://www.wikidata.org/entity/Q867146>	"Noël Hallé"@da	"3405"	"Noël Hallé"	"Noël Hallé"	<https://commons.wikimedia.org/wiki/Category:No%C3%ABl_Hall%C3%A9>
<http://www.wikidata.org/entity/Q874537>	"Pieter Quast"@da	"1744"	"Pieter Jansz. Quast"	"Pieter Jansz. Quast"	<https://commons.wikimedia.org/wiki/Category:Pieter_Jansz._Quast>
<http://www.wikidata.org/entity/Q874770>	"Eglon van der Neer"@da	"848"	"Eglon van der Neer"	"Eglon van der Neer"	<https://commons.wikimedia.org/wiki/Category:Eglon_van_der_Neer>
<http://www.wikidata.org/entity/Q874868>	"Godfried Schalcken"@da	"1803"	"Godfried Schalcken"	"Godfried Schalcken"	<https://commons.wikimedia.org/wiki/Category:Godfried_Schalcken>
<http://www.wikidata.org/entity/Q874936>	"Carel de Moor"@da	"826"	"Carel de Moor (II)"	"Carel de Moor (II)"	<https://commons.wikimedia.org/wiki/Category:Carel_de_Moor_(II)>
<http://www.wikidata.org/entity/Q875076>	"Jan Baptist Weenix"@da	"1952"	"Jan Baptist Weenix"	"Jan Baptist Weenix"	<https://commons.wikimedia.org/wiki/Category:Jan_Baptist_Weenix>
<http://www.wikidata.org/entity/Q875164>	"Herman van Swanevelt"@da	"1833"	"Herman van Swanevelt"	"Herman van Swanevelt"	<https://commons.wikimedia.org/wiki/Category:Herman_van_Swanevelt>
<http://www.wikidata.org/entity/Q277738>	"Jean-Marc Nattier"@da	"842"	"Jean-Marc Nattier"	"Jean-Marc Nattier"	<https://commons.wikimedia.org/wiki/Jean-Marc_Nattier>
<http://www.wikidata.org/entity/Q280880>	"Erik Olson"@da	"5885"		"Erik Olson (konstnär, Halmstad)"	<https://commons.wikimedia.org/wiki/Category:Erik_Olson_(konstn%C3%A4r,_Halmstad)>
<http://www.wikidata.org/entity/Q281812>	"Moise Kisling"@da	"683"	"Moïse Kisling"	"Moïse Kisling"	<https://commons.wikimedia.org/wiki/Category:Mo%C3%AFse_Kisling>
<http://www.wikidata.org/entity/Q282512>	"Oscar Björck"@da	"21174"	"Oscar Björck"	"Oscar Björck"	<https://commons.wikimedia.org/wiki/Category:Oscar_Bj%C3%B6rck>
<http://www.wikidata.org/entity/Q282512>	"Oscar Björck"@da	"1629"	"Oscar Björck"	"Oscar Björck"	<https://commons.wikimedia.org/wiki/Category:Oscar_Bj%C3%B6rck>
<http://www.wikidata.org/entity/Q282708>	"Jan van Scorel"@da	"1815"	"Jan van Scorel"	"Jan van Scorel"	<https://commons.wikimedia.org/wiki/Category:Jan_van_Scorel>
<http://www.wikidata.org/entity/Q284954>	"Thomas Doughty"@da	"1519"	"Thomas Doughty"	"Thomas Doughty"	<https://commons.wikimedia.org/wiki/Category:Thomas_Doughty>
<http://www.wikidata.org/entity/Q313096>	"Jean Metzinger"@da	"797"		"Jean Metzinger"	<https://commons.wikimedia.org/wiki/Category:Jean_Metzinger>
<http://www.wikidata.org/entity/Q313194>	"Aelbert Cuyp"@da	"1497"	"Aelbert Cuyp"	"Aelbert Cuyp"	<https://commons.wikimedia.org/wiki/Aelbert_Cuyp>
<http://www.wikidata.org/entity/Q313561>	"Dieric Bouts"@da	"1389"	"Dieric Bouts"	"Dieric Bouts"	<https://commons.wikimedia.org/wiki/Dieric_Bouts>
<http://www.wikidata.org/entity/Q304411>	"Melchior de Hondecoeter"@da	"2503"	"Melchior d'Hondecoeter"	"Melchior d'Hondecoeter"	<https://commons.wikimedia.org/wiki/Category:Melchior_d%27Hondecoeter>
<http://www.wikidata.org/entity/Q310025>	"Théodore Rousseau"@da	"1302"	"Théodore Rousseau"	"Théodore Rousseau"	<https://commons.wikimedia.org/wiki/Category:Th%C3%A9odore_Rousseau>
<http://www.wikidata.org/entity/Q744250>	"Gaspare Diziani"@da	"1511"	"Gaspare Diziani"	"Gaspare Diziani"	<https://commons.wikimedia.org/wiki/Category:Gaspare_Diziani>
<http://www.wikidata.org/entity/Q758925>	"Jan van Bijlert"@da	"1984"	"Jan van Bijlert"	"Jan van Bijlert"	<https://commons.wikimedia.org/wiki/Category:Jan_van_Bijlert>
<http://www.wikidata.org/entity/Q759486>	"Dirck Hals"@da	"2488"	"Dirck Hals"	"Dirck Hals"	<https://commons.wikimedia.org/wiki/Category:Dirck_Hals>
<http://www.wikidata.org/entity/Q759588>	"Jan Miense Molenaer"@da	"818"	"Jan Miense Molenaer"	"Jan Miense Molenaer"	<https://commons.wikimedia.org/wiki/Category:Jan_Miense_Molenaer>
<http://www.wikidata.org/entity/Q761985>	"Hendrik Krock"@da	"572"	"Hendrik Krock"	"Hendrik Krock"	<https://commons.wikimedia.org/wiki/Category:Hendrik_Krock>
<http://www.wikidata.org/entity/Q763488>	"August Querfurt"@da	"1745"	"August Querfurt"	"August Querfurt"	<https://commons.wikimedia.org/wiki/Category:August_Querfurt>
<http://www.wikidata.org/entity/Q765989>	"Emanuel Murant"@da	"836"	"Emanuel Murant"	"Emanuel Murant"	<https://commons.wikimedia.org/wiki/Category:Emanuel_Murant>
<http://www.wikidata.org/entity/Q766549>	"Magnus Berg"@da	"463"	"Magnus Berg"	"Magnus Berg"	<https://commons.wikimedia.org/wiki/Category:Magnus_Berg>
<http://www.wikidata.org/entity/Q395680>	"Agostino Masucci"@da	"777"	"Agostino Masucci"	"Agostino Masucci"	<https://commons.wikimedia.org/wiki/Category:Agostino_Masucci>
<http://www.wikidata.org/entity/Q420055>	"Floris Gerritsz. van Schooten"@da	"1811"	"Floris van Schooten"	"Floris van Schooten"	<https://commons.wikimedia.org/wiki/Category:Floris_van_Schooten>
<http://www.wikidata.org/entity/Q420237>	"Pieter Cornelisz. van Slingeland"@da	"1826"	"Pieter Cornelisz. van Slingelandt"	"Pieter Cornelisz. van Slingelandt"	<https://commons.wikimedia.org/wiki/Category:Pieter_Cornelisz._van_Slingelandt>
<http://www.wikidata.org/entity/Q421775>	"Cornelis Bega"@da	"1354"	"Cornelis Pietersz. Bega"	"Cornelis Pietersz. Bega"	<https://commons.wikimedia.org/wiki/Category:Cornelis_Pietersz._Bega>
<http://www.wikidata.org/entity/Q424307>	"Juriaen Jacobsz."@da	"668"	"Juriaen Jacobsz."	"Juriaen Jacobsz."	<https://commons.wikimedia.org/wiki/Category:Juriaen_Jacobsz.>
<http://www.wikidata.org/entity/Q430783>	"Jan Lievens"@da	"732"	"Jan Lievens"	"Jan Lievens"	<https://commons.wikimedia.org/wiki/Category:Jan_Lievens>
<http://www.wikidata.org/entity/Q431137>	"Jan Massys"@da	"776"	"Jan Massijs"	"Jan Massijs"	<https://commons.wikimedia.org/wiki/Category:Jan_Massijs>
